Year,Month,Day,Data
1986,10,1,0
1986,10,2,0
1986,10,3,0
1986,10,4,0
1986,10,5,0
1986,10,6,0
1986,10,7,0
1986,10,8,0
1986,10,9,0
1986,10,10,0
1986,10,11,0
1986,10,12,0
1986,10,13,0
1986,10,14,0
1986,10,15,0
1986,10,16,0
1986,10,17,0
1986,10,18,0
1986,10,19,0
1986,10,20,0
1986,10,21,0
1986,10,22,0
1986,10,23,0
1986,10,24,0
1986,10,25,0
1986,10,26,0
1986,10,27,0
1986,10,28,0
1986,10,29,0
1986,10,30,0
1986,10,31,0
1986,11,1,0
1986,11,2,0
1986,11,3,0
1986,11,4,0
1986,11,5,0
1986,11,6,0
1986,11,7,0
1986,11,8,0
1986,11,9,0
1986,11,10,0
1986,11,11,0
1986,11,12,0
1986,11,13,0
1986,11,14,0
1986,11,15,0
1986,11,16,0
1986,11,17,0
1986,11,18,0
1986,11,19,0
1986,11,20,0
1986,11,21,0
1986,11,22,0
1986,11,23,0
1986,11,24,0
1986,11,25,0
1986,11,26,0
1986,11,27,0
1986,11,28,0
1986,11,29,0
1986,11,30,0
1986,12,1,0
1986,12,2,0
1986,12,3,0
1986,12,4,0
1986,12,5,0
1986,12,6,0
1986,12,7,0
1986,12,8,0
1986,12,9,0
1986,12,10,0
1986,12,11,0
1986,12,12,0
1986,12,13,0
1986,12,14,0
1986,12,15,0
1986,12,16,0
1986,12,17,0
1986,12,18,0
1986,12,19,0
1986,12,20,0
1986,12,21,0
1986,12,22,0
1986,12,23,0
1986,12,24,0
1986,12,25,0
1986,12,26,0
1986,12,27,0
1986,12,28,0
1986,12,29,0
1986,12,30,0
1986,12,31,0
1987,1,1,0
1987,1,2,0
1987,1,3,0
1987,1,4,0
1987,1,5,0
1987,1,6,0
1987,1,7,0
1987,1,8,0
1987,1,9,0
1987,1,10,0
1987,1,11,0
1987,1,12,0
1987,1,13,0
1987,1,14,0
1987,1,15,0
1987,1,16,0
1987,1,17,0
1987,1,18,0
1987,1,19,0
1987,1,20,0
1987,1,21,0
1987,1,22,0
1987,1,23,0
1987,1,24,0
1987,1,25,0
1987,1,26,0
1987,1,27,0
1987,1,28,0
1987,1,29,0
1987,1,30,0
1987,1,31,0
1987,2,1,0
1987,2,2,0
1987,2,3,0
1987,2,4,0
1987,2,5,0
1987,2,6,0
1987,2,7,0
1987,2,8,0
1987,2,9,0
1987,2,10,0
1987,2,11,0
1987,2,12,0
1987,2,13,0
1987,2,14,0
1987,2,15,0
1987,2,16,0
1987,2,17,0
1987,2,18,0
1987,2,19,0
1987,2,20,0
1987,2,21,0
1987,2,22,0
1987,2,23,0
1987,2,24,0
1987,2,25,0
1987,2,26,0
1987,2,27,0
1987,2,28,0
1987,3,1,0
1987,3,2,0
1987,3,3,0
1987,3,4,0
1987,3,5,0
1987,3,6,0
1987,3,7,0
1987,3,8,0
1987,3,9,0
1987,3,10,0
1987,3,11,0
1987,3,12,0
1987,3,13,0
1987,3,14,0
1987,3,15,0
1987,3,16,0
